trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.3, 'e': 0.9810476695495772}",25,0,-126.00285222806787,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
41,False,"{'a': 0.3, 'e': 0.9800665778412416}",30,0,-117.43196477985299,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
42,False,"{'a': 0.3, 'e': 0.9790609845195051}",20,0,-158.42145317603573,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
43,False,"{'a': 0.3, 'e': 0.9780309147241483}",20,0,-116.83604203724599,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.3, 'e': 0.9769763942068623}",20,0,-115.38859949345041,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
45,False,"{'a': 0.3, 'e': 0.9758974493306055}",20,0,-222.6165746009171,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
46,False,"{'a': 0.3, 'e': 0.9747941070689433}",20,0,-47.55640539733992,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.3, 'e': 0.9736663950053749}",25,0,-101.49464568053692,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
48,False,"{'a': 0.3, 'e': 0.972514341332643}",20,0,-62.19786279812348,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
49,False,"{'a': 0.3, 'e': 0.9713379748520297}",20,0,-137.92020521357142,"{0: 11, 1: 1, 2: 3, 3: 4, 4: 1}",0
50,False,"{'a': 0.3, 'e': 0.9701373249726354}",25,11,-21.699820100779824,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.3, 'e': 0.9689124217106447}",25,0,-86.5986595818833,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
52,False,"{'a': 0.3, 'e': 0.9676632956885756}",20,0,-143.82439392845444,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
53,False,"{'a': 0.3, 'e': 0.9663899781345132}",20,0,-109.18222993579943,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.3, 'e': 0.9650925008813303}",30,0,-47.266350857344115,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.3, 'e': 0.9637708963658905}",30,0,-199.34240264836237,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
56,False,"{'a': 0.3, 'e': 0.962425197628238}",25,0,-122.1533627048414,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
